region,year,count_ev,일반차
서울,2026,105549,3051822
부산,2026,63969,1513640
대구,2026,43579,1216819
인천,2026,83928,1668479
광주,2026,20664,708151
대전,2026,27600,718725
울산,2026,16711,594578
세종,2026,8011,196353
경기,2026,218546,6500095
강원,2026,28771,849930
충북,2026,36062,920277
충남,2026,42166,1247016
전북,2026,33507,972114
전남,2026,42897,1276296
경북,2026,46103,1516539
경남,2026,70061,1945079
제주,2026,60966,664307
서울,2025,86792,3089607
부산,2025,46879,1519799
대구,2025,35794,1226744
인천,2025,57421,1691403
광주,2025,16558,714556
대전,2025,23186,715290
울산,2025,12836,595546
세종,2025,6050,196543
경기,2025,160504,6493062
강원,2025,23798,851977
충북,2025,27505,923130
충남,2025,32402,1242905
전북,2025,27586,976594
전남,2025,32763,1248167
경북,2025,34550,1519826
경남,2025,49877,1935627
제주,2025,49513,660745
서울,2024,76040,3115018
부산,2024,36853,1492971
대구,2024,31027,1228137
인천,2024,42805,1690747
광주,2024,13768,710714
대전,2024,19502,706299
울산,2024,10703,589841
세종,2024,4855,193717
경기,2024,122243,6416272
강원,2024,20951,847183
충북,2024,22091,916170
충남,2024,25728,1223687
전북,2024,22178,972364
전남,2024,25302,1227294
경북,2024,27346,1509616
경남,2024,39192,1908328
제주,2024,39472,664014
서울,2023,62546,3131756
부산,2023,24051,1477671
대구,2023,24658,1207321
인천,2023,28002,1668130
광주,2023,10301,704972
대전,2023,15665,693783
울산,2023,7644,582082
세종,2023,3342,191180
경기,2023,83994,6309522
강원,2023,16609,837291
충북,2023,16943,902705
충남,2023,17876,1197876
전북,2023,14678,965630
전남,2023,16227,1222480
경북,2023,19427,1508867
경남,2023,25214,1875655
제주,2023,32917,658721
서울,2022,43588,3134435
부산,2022,13830,1454620
대구,2022,16487,1196624
인천,2022,13963,1665982
광주,2022,6148,696358
대전,2022,8546,685391
울산,2022,5380,577018
세종,2022,2010,184583
경기,2022,43847,6178462
강원,2022,9845,820770
충북,2022,9148,885230
충남,2022,10798,1168723
전북,2022,8552,953254
전남,2022,9175,1165933
경북,2022,11321,1491374
경남,2022,14363,1822584
제주,2022,25583,636394